지역,이름,사업자,소재지,면적,홀,구분
경남,김해상록컨트리클럽,공무원연금공단,김해시 한림면 김해대로 974번길 198,963482,18,대중제
경남,리더스컨트리클럽,리더스컨트리클럽,밀양시 활성로 455,1421947,27,대중제
경남,밀양컨트리클럽,밀양컨트리클럽,밀양시 부북면 전사포리 832,296984,9,대중제
경남,밀양노벨컨트리클럽,밀양관광개발,밀양시 단장면 단장로 946,986608,18,대중제
경남,밀양에스파크골프리조트,밀양관광단지조성사업단,밀양시 단장면 미촌리 889,585684,18,대중제
경남,거제드비치골프클럽,드비치골프클럽,거제시 장목면 거제북로 1573,936155,18,회원제
경남,거제뷰컨트리클럽,경암,거제시 거제면 두동로 259-80,801445,18,대중제
경남,통도파인이스트컨트리클럽,동일리조트,양산시 하북면 신평남부길 78-130,2038075,36,회원제
경남,동부산컨트리클럽,동부산컨트리클럽,양산시 매곡외산로 282,938395,27,회원제
경남,에이원컨트리클럽,에이원컨트리클럽,양산시 덕명로 190,1680668,27,회원제
경남,에덴밸리컨트리클럽,신세계개발,양산시 원동면 어실로 910,920431,18,회원제
경남,양산컨트리클럽,양산컨트리클럽,양산시 상북면 충렬로 687,1599832,27,대중제
경남,다이아몬드컨트리클럽,다이아몬드컨트리클럽,양산시 상북면 공원로 305-391,1288176,18,대중제
경남,양산동원로얄CC,아시아드종합개발,양산시 어실로 380-45,943987,18,대중제
경남,의령친환경골프장,의령군수,의령군 의령읍 남강로 417,235262,9,대중제
경남,의령 리온컨트리클럽,우신레저,의령군 칠곡면 지굴산로 101-33,1437044,27,대중제
경남,골프존카운티 경남,지씨경남,함안군 칠원면 운무로 470,786500,18,대중제
경남,부곡컨트리클럽,현일개발,창녕군 부곡면 온천로 445,672813,18,회원제
경남,힐마루컨트리클럽,동훈,창녕군 장마면 영산계성로 469-195,995616,18,회원제
경남,고성노벨컨트리클럽,고성관광개발,고성군 회화면 회진로 567,1400466,27,회원제
경남,고성컨트리클럽,쌍마,고성군 고성읍 월평3길 250,253145,9,대중제
경남,아난티남해CC,아난티,남해군 남면 남서대로 1179번길 40-109,378840,9,대중제
경남,사우스케이프오너스클럽,사우스케이프,남해군 창선면 흥선로 1545,1331102,18,비회원제
경남,경남스카이뷰CC,경남관광호텔,함양군 서상면 소로길 226,1032347,18,대중제
경남,거창친환경대중골프장,거창군수,거창군 가조면 우륵길 410-284,571765,9,대중제
경남,클럽디거창,이도,거창군 신원면 덕산리 산 13번지,1814016,27,대중제
경남,아델스코트 컨트리클럽,에이스컨트리클럽,합천군 가야면 가조가야로 1916-35,1399432,27,대중제
경북,오션힐스포항CC,오션힐스골프앤리조트,경상북도 포항시 북구 송라면 대전길 7,918977,18,회원제
경북,청하이스턴CC,이스턴,경상북도 포항시 청하면 용산길 94,238597,9,대중제
경북,포항CC,홍익레저산업,경상북도 포항시 송라면 동해대로 2751번길 123,986443,18,대중제
경북,경주신라CC,경주신라CC,경상북도 경주시 보문로 319,1876682,36,회원제
경북,보문GC,경북문화관광공사,경상북도 경주시 보문로 182-14,769499,18,대중제
경북,경주CC,보문개발,경상북도 경주시 보문로 182-98,1461103,27,대중제
경북,마우나오션CC,엠오디,경상북도 경주시 양남면 동남로 982,786697,18,회원제
경북,가든골프클럽,코오롱글로텍,경상북도 경주시 불국로 289-17,175806,9,대중제
경북,우리GC,퍼블릭개발,경상북도 경주시 양남면 동남로 972,442362,9,대중제
경북,서라벌GC,서라벌,경상북도 경주시 외동읍 내외로 577-189,1979892,36,대중제
경북,골프존카운티 감포,지씨감포,경상북도 경주시 감포읍 동해안로 1819-59,983849,18,대중제
경북,디아너스CC,강동씨앤엘,경상북도 경주시 보불로 391,1258239,27,회원제
경북,선리치GC,월성종합개발,경상북도 경주시 안강읍 검단장골길 181-17,244372,9,대중제
경북,안강레전드GC,옥산개발,경상북도 경주시 안강읍 낙산길 85,404646,9,대중제
경북,이스트힐CC,청학씨앤디,경상북도 경주시 양남면 외남로 1377,1363308,18,대중제
